epoch 6 / 48,             	step 1100 / 1875,             	loss = 0.0029
epoch 6 / 48,             	step 1200 / 1875,             	loss = 0.1388
epoch 6 / 48,             	step 1300 / 1875,             	loss = 0.0966
epoch 6 / 48,             	step 1400 / 1875,             	loss = 0.0026
epoch 6 / 48,             	step 1500 / 1875,             	loss = 0.5602
epoch 6 / 48,             	step 1600 / 1875,             	loss = 0.0038
epoch 6 / 48,             	step 1700 / 1875,             	loss = 0.0031
epoch 6 / 48,             	step 1800 / 1875,             	loss = 0.0032
epoch 7 / 48,             	step 100 / 1875,             	loss = 0.0771
epoch 7 / 48,             	step 200 / 1875,             	loss = 0.0075
epoch 7 / 48,             	step 300 / 1875,             	loss = 0.0053
epoch 7 / 48,             	step 400 / 1875,             	loss = 0.0171
epoch 7 / 48,             	step 500 / 1875,             	loss = 0.0022
epoch 7 / 48,             	step 600 / 1875,             	loss = 0.0304
epoch 7 / 48,             	step 700 / 1875,             	loss = 0.4408
epoch 7 / 48,             	step 800 / 1875,             	loss = 0.1119
epoch 7 / 48,             	step 900 / 1875,             	loss = 0.0139
epoch 7 / 48,             	step 1000 / 1875,             	loss = 0.0022
epoch 7 / 48,             	step 1100 / 1875,             	loss = 0.0240
epoch 7 / 48,             	step 1200 / 1875,             	loss = 0.0288
epoch 7 / 48,             	step 1300 / 1875,             	loss = 0.0011
epoch 7 / 48,             	step 1400 / 1875,             	loss = 0.0008
epoch 7 / 48,             	step 1500 / 1875,             	loss = 0.0150
epoch 7 / 48,             	step 1600 / 1875,             	loss = 0.0100
epoch 7 / 48,             	step 1700 / 1875,             	loss = 0.0003
epoch 7 / 48,             	step 1800 / 1875,             	loss = 0.0484
epoch 8 / 48,             	step 100 / 1875,             	loss = 0.2641
epoch 8 / 48,             	step 200 / 1875,             	loss = 0.0076
epoch 8 / 48,             	step 300 / 1875,             	loss = 0.0005
epoch 8 / 48,             	step 400 / 1875,             	loss = 0.0143
epoch 8 / 48,             	step 500 / 1875,             	loss = 0.0065
epoch 8 / 48,             	step 600 / 1875,             	loss = 0.0014
epoch 8 / 48,             	step 700 / 1875,             	loss = 0.0006
epoch 8 / 48,             	step 800 / 1875,             	loss = 0.0087
epoch 8 / 48,             	step 900 / 1875,             	loss = 0.0345
epoch 8 / 48,             	step 1000 / 1875,             	loss = 0.0040
epoch 8 / 48,             	step 1100 / 1875,             	loss = 0.0273
epoch 8 / 48,             	step 1300 / 1875,             	loss = 0.0001
epoch 8 / 48,             	step 1400 / 1875,             	loss = 0.0005
epoch 8 / 48,             	step 1500 / 1875,             	loss = 0.1704
epoch 8 / 48,             	step 1600 / 1875,             	loss = 0.0006
epoch 8 / 48,             	step 1700 / 1875,             	loss = 0.0009
epoch 8 / 48,             	step 1800 / 1875,             	loss = 0.0002
epoch 9 / 48,             	step 100 / 1875,             	loss = 0.0366
epoch 9 / 48,             	step 200 / 1875,             	loss = 0.0061
epoch 9 / 48,             	step 300 / 1875,             	loss = 0.0141
epoch 9 / 48,             	step 400 / 1875,             	loss = 0.0350
epoch 9 / 48,             	step 500 / 1875,             	loss = 0.0002
epoch 9 / 48,             	step 600 / 1875,             	loss = 0.0106
epoch 9 / 48,             	step 700 / 1875,             	loss = 0.0010
epoch 9 / 48,             	step 800 / 1875,             	loss = 0.0009
epoch 9 / 48,             	step 900 / 1875,             	loss = 0.0002
epoch 9 / 48,             	step 1000 / 1875,             	loss = 0.0397
epoch 9 / 48,             	step 1100 / 1875,             	loss = 0.0068
epoch 9 / 48,             	step 1200 / 1875,             	loss = 0.0015
epoch 9 / 48,             	step 1300 / 1875,             	loss = 0.0755
epoch 9 / 48,             	step 1400 / 1875,             	loss = 0.0151
epoch 9 / 48,             	step 1500 / 1875,             	loss = 0.0054
epoch 9 / 48,             	step 1600 / 1875,             	loss = 0.0064
epoch 9 / 48,             	step 1700 / 1875,             	loss = 0.0305
epoch 9 / 48,             	step 1800 / 1875,             	loss = 0.0005
epoch 10 / 48,             	step 100 / 1875,             	loss = 0.3886
epoch 10 / 48,             	step 200 / 1875,             	loss = 0.0017
epoch 10 / 48,             	step 300 / 1875,             	loss = 0.0137
epoch 10 / 48,             	step 400 / 1875,             	loss = 0.0089
epoch 10 / 48,             	step 500 / 1875,             	loss = 0.0983
epoch 10 / 48,             	step 700 / 1875,             	loss = 0.0025
epoch 10 / 48,             	step 800 / 1875,             	loss = 0.0008
epoch 10 / 48,             	step 900 / 1875,             	loss = 0.0052
epoch 10 / 48,             	step 1000 / 1875,             	loss = 0.0006
epoch 10 / 48,             	step 1100 / 1875,             	loss = 0.0023
epoch 10 / 48,             	step 1200 / 1875,             	loss = 0.0603
epoch 10 / 48,             	step 1300 / 1875,             	loss = 0.0078
epoch 10 / 48,             	step 1400 / 1875,             	loss = 0.0000
epoch 10 / 48,             	step 1500 / 1875,             	loss = 0.0147
epoch 10 / 48,             	step 1600 / 1875,             	loss = 0.0006
epoch 10 / 48,             	step 1700 / 1875,             	loss = 0.0029
epoch 10 / 48,             	step 1800 / 1875,             	loss = 0.0007
epoch 11 / 48,             	step 100 / 1875,             	loss = 0.0530
epoch 11 / 48,             	step 200 / 1875,             	loss = 0.0060
epoch 11 / 48,             	step 300 / 1875,             	loss = 0.0577
epoch 11 / 48,             	step 400 / 1875,             	loss = 0.0001
epoch 11 / 48,             	step 500 / 1875,             	loss = 0.0013
epoch 11 / 48,             	step 600 / 1875,             	loss = 0.0299
epoch 11 / 48,             	step 700 / 1875,             	loss = 0.0158
epoch 11 / 48,             	step 800 / 1875,             	loss = 0.0437
epoch 11 / 48,             	step 900 / 1875,             	loss = 0.0011
epoch 11 / 48,             	step 1000 / 1875,             	loss = 0.0018
epoch 11 / 48,             	step 1100 / 1875,             	loss = 0.0014
epoch 11 / 48,             	step 1200 / 1875,             	loss = 0.0123
epoch 11 / 48,             	step 1300 / 1875,             	loss = 1.1205
epoch 11 / 48,             	step 1400 / 1875,             	loss = 0.0012
epoch 11 / 48,             	step 1500 / 1875,             	loss = 0.0137
epoch 11 / 48,             	step 1600 / 1875,             	loss = 0.0025
epoch 11 / 48,             	step 1700 / 1875,             	loss = 0.0010
epoch 11 / 48,             	step 1800 / 1875,             	loss = 0.0048
epoch 12 / 48,             	step 100 / 1875,             	loss = 0.0199
epoch 12 / 48,             	step 200 / 1875,             	loss = 0.0059
epoch 12 / 48,             	step 300 / 1875,             	loss = 0.0011
epoch 12 / 48,             	step 500 / 1875,             	loss = 0.0001
epoch 12 / 48,             	step 600 / 1875,             	loss = 0.0028
epoch 12 / 48,             	step 700 / 1875,             	loss = 0.0486
epoch 12 / 48,             	step 800 / 1875,             	loss = 0.0001
epoch 12 / 48,             	step 900 / 1875,             	loss = 0.0023
epoch 12 / 48,             	step 1000 / 1875,             	loss = 1.2821
epoch 12 / 48,             	step 1100 / 1875,             	loss = 0.0278
epoch 12 / 48,             	step 1200 / 1875,             	loss = 0.0183
epoch 12 / 48,             	step 1300 / 1875,             	loss = 0.0099
epoch 12 / 48,             	step 1400 / 1875,             	loss = 0.0003
epoch 12 / 48,             	step 1500 / 1875,             	loss = 0.0046
epoch 12 / 48,             	step 1600 / 1875,             	loss = 0.0000
epoch 12 / 48,             	step 1700 / 1875,             	loss = 0.0000
epoch 12 / 48,             	step 1800 / 1875,             	loss = 0.0110
epoch 13 / 48,             	step 100 / 1875,             	loss = 0.0018
