epoch 6 / 48,             	step 900 / 1875,             	loss = 0.4658
epoch 6 / 48,             	step 1000 / 1875,             	loss = 0.0786
epoch 6 / 48,             	step 1100 / 1875,             	loss = 0.1590
epoch 6 / 48,             	step 1200 / 1875,             	loss = 0.1958
epoch 6 / 48,             	step 1300 / 1875,             	loss = 0.4081
epoch 6 / 48,             	step 1400 / 1875,             	loss = 0.1252
epoch 6 / 48,             	step 1500 / 1875,             	loss = 0.1832
epoch 6 / 48,             	step 1600 / 1875,             	loss = 0.4041
epoch 6 / 48,             	step 1700 / 1875,             	loss = 0.2132
epoch 6 / 48,             	step 1800 / 1875,             	loss = 0.1039
epoch 7 / 48,             	step 100 / 1875,             	loss = 0.1626
epoch 7 / 48,             	step 200 / 1875,             	loss = 0.1789
epoch 7 / 48,             	step 300 / 1875,             	loss = 0.1781
epoch 7 / 48,             	step 400 / 1875,             	loss = 0.0673
epoch 7 / 48,             	step 500 / 1875,             	loss = 0.1814
epoch 7 / 48,             	step 600 / 1875,             	loss = 0.1551
epoch 7 / 48,             	step 700 / 1875,             	loss = 0.2132
epoch 7 / 48,             	step 800 / 1875,             	loss = 0.2060
epoch 7 / 48,             	step 900 / 1875,             	loss = 0.1026
epoch 7 / 48,             	step 1000 / 1875,             	loss = 0.0650
epoch 7 / 48,             	step 1100 / 1875,             	loss = 0.2060
epoch 7 / 48,             	step 1200 / 1875,             	loss = 0.1575
epoch 7 / 48,             	step 1300 / 1875,             	loss = 0.4987
epoch 7 / 48,             	step 1400 / 1875,             	loss = 0.1661
epoch 7 / 48,             	step 1500 / 1875,             	loss = 0.1769
epoch 7 / 48,             	step 1600 / 1875,             	loss = 0.1102
epoch 7 / 48,             	step 1700 / 1875,             	loss = 0.2664
epoch 7 / 48,             	step 1800 / 1875,             	loss = 0.2516
epoch 8 / 48,             	step 100 / 1875,             	loss = 0.2319
epoch 8 / 48,             	step 200 / 1875,             	loss = 0.0951
epoch 8 / 48,             	step 300 / 1875,             	loss = 0.2037
epoch 8 / 48,             	step 400 / 1875,             	loss = 0.1506
epoch 8 / 48,             	step 500 / 1875,             	loss = 0.1295
epoch 8 / 48,             	step 600 / 1875,             	loss = 0.4694
epoch 8 / 48,             	step 700 / 1875,             	loss = 0.1976
epoch 8 / 48,             	step 800 / 1875,             	loss = 0.2349
epoch 8 / 48,             	step 900 / 1875,             	loss = 0.1146
epoch 8 / 48,             	step 1000 / 1875,             	loss = 0.1174
epoch 8 / 48,             	step 1100 / 1875,             	loss = 0.3537
epoch 8 / 48,             	step 1200 / 1875,             	loss = 0.2612
epoch 8 / 48,             	step 1300 / 1875,             	loss = 0.3054
epoch 8 / 48,             	step 1400 / 1875,             	loss = 0.1181
epoch 8 / 48,             	step 1500 / 1875,             	loss = 0.1355
epoch 8 / 48,             	step 1600 / 1875,             	loss = 0.2257
